subject,lhWhiteSurfArea,lhMeanThickness,rhWhiteSurfArea,rhMeanThickness,WhiteSurfArea,MeanThickness,lhCortexVol,rhCortexVol,CortexVol,lhCorticalWhiteMatterVol,rhCorticalWhiteMatterVol,CorticalWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,IntraCranialVol
0050142,97425.9,2.88255,98187.4,2.86539,195613.3,2.87397,307374.504732,307534.570892,614909.075624,258172.140625,259026.4375,517198.578125,196617.0,811526.075624,1239145.90823,1226077.66776
0050143,92770.5,3.01421,93233.0,2.98889,186003.5,3.00155,320146.195135,320778.742284,640924.937418,239171.578125,241875.171875,481046.75,228390.0,869314.937418,1227202.85721,1225838.8202
0050144,108114.0,2.84931,111006.0,2.80887,219120.0,2.82909,335629.963889,340036.857182,675666.821072,271328.28125,276912.6875,548240.96875,225542.0,901208.821072,1327136.93641,1278099.78301
0050145,99688.6,2.90884,98936.0,2.88791,198624.6,2.898375,312463.375096,312077.526848,624540.901944,232234.21875,229837.078125,462071.296875,166362.0,790902.901944,1177868.35225,1173010.22901
0050146,96229.4,2.97881,95022.6,3.02985,191252.0,3.00433,325039.150733,326010.403543,651049.554277,259776.90625,255577.65625,515354.5625,204614.0,855663.554277,1286873.69741,1418801.13214
0050147,95253.7,3.13384,96057.7,3.07336,191311.4,3.1036,334016.927449,330620.352251,664637.2797,243658.3125,244543.625,488201.9375,205252.0,869889.2797,1266342.87111,1337629.86059
0050148,98356.3,2.92062,98031.3,2.87003,196387.6,2.895325,318509.41486,314375.692525,632885.107385,256409.34375,253597.921875,510007.265625,233311.0,866196.107385,1262568.16078,1267627.01222
0050149,97017.1,3.02996,97023.9,2.99754,194041.0,3.01375,328405.206304,326496.562614,654901.768918,258507.9375,256616.796875,515124.734375,197373.0,852274.768918,1276571.77493,1190920.29277
0050150,84884.2,3.21901,86411.0,3.1256,171295.2,3.172305,306306.652363,304028.317793,610334.970156,221550.46875,225286.8125,446837.28125,190855.0,801189.970156,1151782.08863,1269936.03626
0050152,91289.3,3.06843,90959.2,2.95865,182248.5,3.01354,309973.212519,300196.03794,610169.250459,219552.484375,217579.71875,437132.203125,206658.0,816827.250459,1137202.8631,1136439.17317
0050153,79994.2,2.99879,81363.9,2.99904,161358.1,2.998915,273841.610429,278405.426894,552247.037322,203898.40625,204137.640625,408036.046875,184686.0,736933.037322,1066657.76287,1090885.99005
0050155,105594.0,2.87772,104837.0,2.80612,210431.0,2.84192,342022.031765,336770.022108,678792.053873,285391.5625,283494.484375,568886.046875,216743.0,895535.053873,1376500.49842,1465785.6449
0050156,99154.1,2.78541,99646.2,2.71953,198800.3,2.75247,302255.309605,301659.750077,603915.059682,247882.703125,247866.921875,495749.625,219268.0,823183.059682,1205896.51071,1184235.38014
0050157,89826.0,3.06353,89828.2,3.02878,179654.2,3.046155,311405.131021,305624.572328,617029.703349,217316.75,215496.3125,432813.0625,215614.0,832643.703349,1172006.24006,1366369.11398
0050158,75148.9,3.17062,75895.8,3.14406,151044.7,3.15734,272129.93284,273593.041911,545722.974751,190561.171875,191387.84375,381949.015625,189014.0,734736.974751,1021058.04641,992067.271619
0050159,88588.3,2.78676,87539.3,2.84833,176127.6,2.817545,272991.546395,274755.227076,547746.77347,221494.09375,223085.578125,444579.671875,189101.0,736847.77347,1085936.52619,1087372.87991
0050160,91185.0,2.96367,90517.5,2.84661,181702.5,2.90514,293022.398441,284824.779935,577847.178375,257499.546875,252168.046875,509667.59375,196349.0,774196.178375,1193517.71141,1285788.9202
0050161,87353.2,2.83614,86596.0,2.82629,173949.2,2.831215,273171.948502,270954.067908,544126.01641,226411.84375,222649.21875,449061.0625,185945.0,730071.01641,1090829.67012,1060954.81185
