subjects,surface_F.Coll.left,surface_F.C.L.a.left,surface_F.C.L.p.left,surface_F.C.L.r.ant.left,surface_F.C.L.r.asc.left,surface_F.C.L.r.diag.left,surface_F.C.L.r.retroC.tr.left,surface_F.I.P.left,surface_F.C.L.r.sc.ant.left,surface_F.C.L.r.sc.post.left,surface_F.C.M.ant.left,surface_F.C.M.post.left,surface_F.Cal.ant.-Sc.Cal.left,surface_F.I.P.Po.C.inf.left,surface_F.I.P.r.int.1left,surface_F.I.P.r.int.2left,surface_F.P.O.left,surface_INSULAleft,surface_OCCIPITALleft,surface_S.C.left,surface_S.C.LPC.left,surface_S.C.sylvian.left,surface_S.Call.left,surface_S.Cu.left,surface_S.F.inf.left,surface_S.F.inf.ant.left,surface_S.F.int.left,surface_S.F.inter.left,surface_S.F.marginal.left,surface_S.F.median.left,surface_S.F.orbitaire.left,surface_S.F.polaire.tr.left,surface_S.F.sup.left,surface_S.GSM.left,surface_S.Li.ant.left,surface_S.Li.post.left,surface_S.O.T.lat.ant.left,surface_S.O.T.lat.int.left,surface_S.O.T.lat.med.left,surface_S.O.T.lat.post.left,surface_S.O.p.left,surface_S.Olf.left,surface_S.Or.left,surface_S.Pa.int.left,surface_S.Pa.sup.left,surface_S.Pa.t.left,surface_S.Pe.C.inf.left,surface_S.Pe.C.inter.left,surface_S.Pe.C.marginal.left,surface_S.Pe.C.median.left,surface_S.Pe.C.sup.left,surface_S.Po.C.sup.left,surface_S.R.inf.left,surface_S.Rh.left,surface_S.T.i.ant.left,surface_S.T.i.post.left,surface_S.T.pol.left,surface_S.T.s.left,surface_S.T.s.ter.asc.ant.left,surface_S.T.s.ter.asc.post.left,surface_S.p.C.left,surface_S.s.P.left,surface_ventricleleft
50002,1948.44,1752.94,4348.06,649.618,821.991,,959.617,4446.72,,177.164,1104.57,1281.25,2269.03,1103.65,555.231,946.361,1831.22,4094.94,2341.72,3534.98,136.303,108.462,776.152,418.179,1606.9,506.415,2410.9,2362.74,514.007,535.592,266.628,419.612,3705.27,471.161,322.251,125.56,1038.14,162.45,841.078,851.789,,882.856,988.336,724.559,560.486,632.127,1944.34,249.776,645.131,389.523,1022.37,647.567,,355.175,1829.53,810.681,409.956,3417.48,1263.4,794.474,112.709,757.849,2760.23
50003,2291.48,1585.54,3619.06,460.008,630.871,537.195,678.723,5745.39,,77.3247,1043.9,1658.48,1913.27,41.6654,58.9555,239.791,1943.62,3883.24,2562,3317.49,,95.1042,250.005,297.74,823.283,436.514,1215.59,2427.32,718.111,302.204,236.808,476.511,3032.11,248.85,256.882,137.455,691.999,286.359,447.438,359.002,54.0596,597.456,1004.69,236.51,1275.8,283.123,694.189,1202.47,199.153,391.602,235.932,1168.73,77.6418,418.013,1412.82,2063.82,538.337,3975.82,558.273,582.141,439.682,568.276,1796.44
50004,2113.76,2204.6,4480.97,236.167,1060.28,,114.18,5886.7,,,1082.8,1626.27,2032.73,122.667,505.077,107.819,1959.7,4114.48,2207.17,3222.16,69.4111,203.522,533.567,570.267,1037.76,789.134,1618.9,2192.48,720.475,513.997,109.192,423.283,2434.59,,361.467,,1024.65,157.216,809.486,459.329,,188.969,994.416,2002.46,218.365,48.7355,1250.77,1112.43,,595.029,946.784,809.029,88.2772,154.025,761.082,1813.81,1201.58,3339.2,454.193,1385.94,242.31,901.446,2674.8
50005,2255.79,1587.99,4679.62,573.556,433.222,,190.184,4759.68,,244.101,1340.1,1724.68,1240.92,1340.75,371.176,117.287,1948.82,3836.95,1723.58,2992.49,110.145,37.213,861.378,502.38,1147.25,87.9111,1346.89,846.599,664.844,669.171,544.246,944.488,3069.74,,90.3918,787.565,512.041,197.542,499.937,426.064,39.6576,444.173,1188.18,1302.27,312.664,428.666,886.432,1707.05,294.361,275.748,607.493,658.259,35.6202,595.615,1644.32,1124.03,731.034,2246.78,1209.54,408.044,382.329,431.694,2622.92
50006,1452.41,1691.06,3625.13,79.4773,1197.18,,501.073,4168.81,,80.0733,628.925,1904.48,2717.43,3013.66,72.0233,206.371,2316.33,3750.33,4347.62,2677.57,128.523,96.8139,865.735,119.831,964.275,896.912,1813,1857.1,807.668,1492.01,,608.401,2602.75,,160.711,370.225,1146.9,236.963,391.545,1069.14,327.249,390.589,1176.12,532.853,432.299,,1369.5,684.765,106.508,685.805,712.054,863.21,361.116,285.479,1390.34,1743.54,656.791,3605.27,666.362,94.0703,202.858,1288.98,2197.49
50007,1453.77,2273.15,5275.74,716.425,542.404,,793.99,5902.85,,72.2507,1128.42,1941.32,1978.79,1139.57,,,1569.4,4766.55,4518.24,3344.29,402.959,30.859,430.432,310.698,838.99,864.481,2340.99,3794.01,732.03,1083.58,187.347,703.715,2440.1,,669.923,433.203,599.723,146.381,370.414,1517.41,207.855,582.542,1440.71,1355.2,240.453,404.553,654.112,2465.1,332.31,739.873,536.726,1442.96,51.8319,1275.89,2061.52,909.37,984.406,3266.08,741.45,2461.34,77.8159,462.026,2306.86
50008,1587.22,1418.19,3168.18,449.048,689.255,,92.4267,5243.81,,,1418.49,1385.49,1985.19,1646.05,42.8154,197.32,1316.34,3253.91,1815.26,2670.11,,,496.06,514.378,974.242,331.992,1638.54,2207.41,386.856,365.918,467.772,408.713,3097.5,309.525,452.636,1574.07,695.137,234.562,637.056,1229.35,366.468,637.886,1169.88,245.962,975.422,,959.838,1495.7,207.594,706.222,,793.631,127.187,482.614,704.571,874.684,834.667,4151.62,490.519,488.441,236.106,707.38,2127.51
50009,2022.54,1862.28,3489.95,1066.68,86.7595,,564.074,5000.62,51.7677,208.013,1322.43,1316.76,1772.07,2212.88,42.0817,,1324.33,4305.9,3404.04,2736.6,222.818,60.2063,464.162,320.367,474.813,159.078,2600.28,2900.99,811.378,455.678,277.16,396.899,2027.05,,,487.442,494.281,298.279,328.601,1582.26,,632.17,1179.32,1015.23,49.2177,,892.044,1128.5,430.832,311.308,33.5317,1212.44,70.6722,748.504,1031.19,716.838,689.444,3159.91,1499.5,1314.83,,884.964,2083.52
50010,336.086,259.315,1997.01,408.896,306.839,,53.2686,1911.21,,23.3698,696.34,565.92,719.269,597.314,403.219,96.2638,469.397,2352.76,617.728,2654.43,,49.5764,,310.101,595.216,,22.0087,153.323,191.654,200.26,142.837,163.532,1310.34,,345.773,,312.207,,206.264,71.2213,,156.475,394.641,946.907,,407.191,501.113,304.784,292.022,91.9318,396.971,349.292,,,39.719,429.359,,1758.04,106.53,556.69,94.7874,655.088,2402.36
50011,2666.45,2629.65,4663.86,736.357,497.214,,582.036,6725.83,,172.204,1358.47,1859.07,1695.14,1548.56,,,1250.8,4201.09,4104.17,3545.41,197.801,245.71,906.803,1215.09,1615.99,1543.22,2725.97,2720.39,977.983,76.3239,728.828,615.071,3844.04,135.408,616.442,202.336,523.786,693.165,228.292,481.205,,602.603,1340.24,1192.14,,317.346,1850.31,403.288,,584.767,831.795,1243.99,250.676,278.216,1145.79,2401.35,647.521,5387.71,683.367,130.955,77.926,291.61,2348.92
